DATA;VENDAS
24/06/19;
25/06/19;
26/06/19;
27/06/19;
28/06/19;
29/06/19;
30/06/19;
01/07/19;
02/07/19;
03/07/19;
04/07/19;
05/07/19;
06/07/19;
07/07/19;
08/07/19;
09/07/19;
10/07/19;
11/07/19;
12/07/19;
13/07/19;
14/07/19;
15/07/19;
16/07/19;
17/07/19;
18/07/19;
19/07/19;
20/07/19;
21/07/19;
22/07/19;
23/07/19;
24/07/19;
25/07/19;
26/07/19;
27/07/19;
28/07/19;
29/07/19;
30/07/19;
31/07/19;
01/08/19;
02/08/19;
03/08/19;
04/08/19;
05/08/19;
06/08/19;
07/08/19;159
08/08/19;116
09/08/19;138
10/08/19;143
11/08/19;159
12/08/19;119
13/08/19;78
14/08/19;
15/08/19;
16/08/19;
17/08/19;
18/08/19;
19/08/19;
20/08/19;
21/08/19;
22/08/19;
23/08/19;
24/08/19;
25/08/19;
26/08/19;
27/08/19;
28/08/19;
29/08/19;
30/08/19;
31/08/19;
01/09/19;
02/09/19;
03/09/19;
04/09/19;
05/09/19;
06/09/19;
07/09/19;81
08/09/19;
09/09/19;
10/09/19;
11/09/19;
12/09/19;
13/09/19;
14/09/19;
15/09/19;
16/09/19;
17/09/19;
18/09/19;
19/09/19;
20/09/19;
21/09/19;
22/09/19;
23/09/19;
24/09/19;
25/09/19;
26/09/19;
27/09/19;
28/09/19;
29/09/19;
30/09/19;
01/10/19;
02/10/19;
03/10/19;
04/10/19;
05/10/19;
06/10/19;
07/10/19;
08/10/19;
09/10/19;
10/10/19;
11/10/19;
12/10/19;94
13/10/19;
14/10/19;
15/10/19;
16/10/19;
17/10/19;
18/10/19;
19/10/19;
20/10/19;
21/10/19;
22/10/19;
23/10/19;
24/10/19;
25/10/19;
26/10/19;
27/10/19;
28/10/19;
29/10/19;
30/10/19;
31/10/19;
01/11/19;
02/11/19;0
03/11/19;
04/11/19;
05/11/19;
06/11/19;
07/11/19;
08/11/19;
09/11/19;
10/11/19;
11/11/19;
12/11/19;
13/11/19;
14/11/19;
15/11/19;64
16/11/19;
17/11/19;
18/11/19;
19/11/19;
20/11/19;
21/11/19;
22/11/19;
23/11/19;
24/11/19;
25/11/19;
26/11/19;
27/11/19;
28/11/19;
29/11/19;
30/11/19;
01/12/19;
02/12/19;
03/12/19;
04/12/19;
05/12/19;
06/12/19;
07/12/19;
08/12/19;
09/12/19;
10/12/19;
11/12/19;
12/12/19;
13/12/19;
14/12/19;
15/12/19;
16/12/19;
17/12/19;
18/12/19;
19/12/19;
20/12/19;
21/12/19;160
22/12/19;181
23/12/19;196
24/12/19;160
25/12/19;0
26/12/19;148
27/12/19;155
28/12/19;106
29/12/19;0
30/12/19;0
31/12/19;0
01/01/20;0
02/01/20;59
03/01/20;73
04/01/20;
05/01/20;
06/01/20;
07/01/20;
08/01/20;
09/01/20;
10/01/20;
11/01/20;
12/01/20;
13/01/20;
14/01/20;
15/01/20;
16/01/20;
17/01/20;
18/01/20;
19/01/20;
20/01/20;
21/01/20;
22/01/20;
23/01/20;
24/01/20;
25/01/20;
26/01/20;
27/01/20;
28/01/20;
29/01/20;
30/01/20;
31/01/20;
01/02/20;
02/02/20;
03/02/20;
04/02/20;
05/02/20;
06/02/20;
07/02/20;
08/02/20;
09/02/20;
10/02/20;
11/02/20;
12/02/20;
13/02/20;
14/02/20;
15/02/20;
16/02/20;
17/02/20;
18/02/20;
19/02/20;
20/02/20;110
21/02/20;96
22/02/20;79
23/02/20;89
24/02/20;0
25/02/20;0
26/02/20;86
27/02/20;99
28/02/20;
29/02/20;
01/03/20;
02/03/20;
03/03/20;
04/03/20;
05/03/20;
06/03/20;
